"","occupied","vacancy","persons"
"1","Record Type","Record Type","Record Type"
"2","Borough","Borough","Borough"
"3","External Walls--Missing brick and sloping walls","External Walls--Missing brick and sloping walls","Person number"
"4","External Walls--Major cracks in walls","External Walls--Major cracks in walls","Sex"
"5","External Walls--Loose or hanging cornice","External Walls--Loose or hanging cornice","Age"
"6","External Walls--No problems","External Walls--No problems","Relationship to householder"
"7","External Walls--Unable to observe","External Walls--Unable to observe","Hispanic Origin"
"8","Condition of Windows--Broken/missing","Condition of Windows--Broken/missing","Race"
"9","Condition of Windows--Rotten/loose","Condition of Windows--Rotten/loose","Person number of Spouse"
"10","Condition of Windows--Boarded-up","Condition of Windows--Boarded-up","Person number of 1st parent"
"11","Condition of Windows--No problems","Condition of Windows--No problems","Person number of 2nd parent"
"12","Condition of Windows--Unable to observe","Condition of Windows--Unable to observe","Person from temporary residence"
"13","Condition of Stairways--Loose/broken railings","Condition of Stairways--Loose/broken railings","Worked last week"
"14","Condition of Stairways--Loose/broken steps","Condition of Stairways--Loose/broken steps","Hours worked last week"
"15","Condition of Stairways--No problems","Condition of Stairways--No problems","Temporarily Absent/Layoff"
"16","Condition of Stairways--No interior steps","Condition of Stairways--No interior steps","Looking for work"
"17","Condition of Stairways--No exterior steps","Condition of Stairways--No exterior steps","Last time worked"
"18","Condition of Stairways--Unable to observe","Condition of Stairways--Unable to observe","Major Industry type"
"19","Condition of Floors--Sagging/sloping and slanted doors","Condition of Floors--Sagging/sloping and slanted doors","Type of worker"
"20","Condition of Floors--Deep wear","Condition of Floors--Deep wear","Weeks worked in 2016"
"21","Condition of Floors--Holes/missing flooring","Condition of Floors--Holes/missing flooring","Hours worked in 2016"
"22","Condition of Floors--None of these problems","Condition of Floors--None of these problems","Salary income"
"23","Condition of Floors--Unable to observe","Condition of Floors--Unable to observe","Business income"
"24","Condition of building","Condition of building","Interest income"
"25","Broken/Boarded Windows--observation","Broken/Boarded Windows--observation","Retirement(1) income"
"26","Wheelchair accessibility--Street entry","Wheelchair accessibility--Street entry","Government income"
"27","Wheelchair accessibility--Elevator","Wheelchair accessibility--Elevator","Retirement(2) income"
"28","Wheelchair accessibility--Unit entrance","Wheelchair accessibility--Unit entrance","Other income"
"29","Sex of householder","Vacant unit respondent","Current Enrollment in Job Training/Education"
"30","Age of householder","First occupancy","Educational Attainment"
"31","Hispanic origin","Number of units in building","Year non-householder moved into unit"
"32","Race of householder","Owner in building","Total person income"
"33","Number of persons from temporary residence","Stories in building","Person income flag"
"34","Most recent place lived","Elevator in building","Business income loss flag"
"35","Year Householder Moved into Unit Recode","Sidewalk to elevator","Interest income loss flag"
"36","First occupants of unit","Sidewalk to unit","Labor force status recode"
"37","Reason for moving","Number of Rooms","Check item g"
"38","Place of birth-householder","Number of Bedrooms","Race and Ethnicity"
"39","Place of birth-father","Complete plumbing facilities","Race Recode 1"
"40","Place of birth-mother","Kitchen facilities","Person weight"
"41","Coop/condo status","Type of Heating Fuel","Sequence number"
"42","Tenure(1)","Condo/Coop Status","Sub-borough Area"
"43","Tenure(2)","Duration of Vacancy","Sex allocation flag"
"44","Lived in unit at time of coop/condo conversion","Status Prior to Vacancy","Age allocation flag"
"45","Coop/condo conv. through a non-eviction plan","Condo/Coop Status Before Vacancy","Hispanic origin flag"
"46","Occupancy status before acquisition","Status of Vacant Unit","Race allocation flag"
"47","Condo/Coop before acquisition","Reason Unit Not Available for Rent/Sale","Worked last week flag"
"48","Down payment(1)","Monthly Asking Rent","Hours worked last week flag"
"49","Down payment(2)","New Control Status Recode","Temporary absent/layoff flag"
"50","Value","Structure Class Recode","Looking for work flag"
"51","Mortgage status","Type of Schedule","Reason not looking flag"
"52","When Did Most Recent Mortgage Originate","Year Built Recode","Last time worked flag"
"53","Current Interest Rate","Rent per Room Recode","Major industry type flag"
"54","Fire and liability insurance paid separately","Condition of Building","Industry flag"
"55","Real estate taxes paid separately","Sub-borough Area","Occupation flag"
"56","Units in building","Sequence Number","Type of worker flag"
"57","Owner in building","Final Housing Unit Weight","Weeks worked in 2016 flag"
"58","Stories in building","Stories in building flag","Hours worked in 2016 flag"
"59","Elevator in building","Rooms/Bedrooms flag","Salary flag"
"60","Sidewalk to elevator","Complete plumbing facilities flag","Business income flag"
"61","Sidewalk to unit","Complete kitchen facilities flag","Interest income flag"
"62","Number of rooms","Type of heating fuel flag","Retirement(1) income flag"
"63","Number of bedrooms","Monthly asking rent flag","Government income flag"
"64","Complete plumbing facilities","Replicate Weight #1","Retirement(2) income flag"
"65","Toilet breakdown","Replicate Weight #2","Other income flag"
"66","Complete kitchen facilities","Replicate Weight #3","Education flag"
"67","Kitchen facilities functioning","Replicate Weight #4","Replicate Weight #1"
"68","Type of heating fuel","Replicate Weight #5","Replicate Weight #2"
"69","Electricity-paid separately","Replicate Weight #6","Replicate Weight #3"
"70","Monthly electricity cost","Replicate Weight #7","Replicate Weight #4"
"71","Gas-paid separately","Replicate Weight #8","Replicate Weight #5"
"72","Monthly gas cost","Replicate Weight #9","Replicate Weight #6"
"73","Combined gas/electricity","Replicate Weight #10","Replicate Weight #7"
"74","Water and sewer-paid separately","Replicate Weight #11","Replicate Weight #8"
"75","Yearly water and sewer cost","Replicate Weight #12","Replicate Weight #9"
"76","Other fuels-paid separately","Replicate Weight #13","Replicate Weight #10"
"77","Yearly cost for other fuels","Replicate Weight #14","Replicate Weight #11"
"78","Contract rent","Replicate Weight #15","Replicate Weight #12"
"79","Length of lease","Replicate Weight #16","Replicate Weight #13"
"80","Federal section 8","Replicate Weight #17","Replicate Weight #14"
"81","Out of pocket rent","Replicate Weight #18","Replicate Weight #15"
"82","Heating equipment breakdown","Replicate Weight #19","Replicate Weight #16"
"83","Number of heating breakdowns","Replicate Weight #20","Replicate Weight #17"
"84","Functioning Air Conditioning","Replicate Weight #21","Replicate Weight #18"
"85","Additional sources of heat","Replicate Weight #22","Replicate Weight #19"
"86","Presence of mice and rates","Replicate Weight #23","Replicate Weight #20"
"87","Number of Cockroaches","Replicate Weight #24","Replicate Weight #21"
"88","Exterminator service","Replicate Weight #25","Replicate Weight #22"
"89","Cracks/holes in interior walls","Replicate Weight #26","Replicate Weight #23"
